Company Name,Internship Title,Sector,Area/Field,No. of Opportunities,Location,State/UT,District,Village,ZIP/Postal Code,Minimum Qualification,Course,Specialization,Certification(s),Preferred Skill(s),Qualification Description,Benefits,Benefits Description,Description,Candidates Already Applied
Tata Motors,Graphic Design Intern,Agriculture,Human Resources,5,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,Diploma,B.Com,Business Analytics,Google Analytics Certificate,"Communication, teamwork",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹19,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"Join as Graphic Design Intern in the Human Resources department to assist in testing, documentation, and process improvements.",15
Adani Green Energy,Digital Marketing Intern,Agriculture,Social Work,6,Vizag,Andhra Pradesh,Visakhapatnam,Anakapalle,530001,Undergraduate,BBA,Social Work,Microsoft Office Specialist,"MATLAB, data analysis",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹7,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","Join as Digital Marketing Intern in the Social Work department to assist in testing, documentation, and process improvements.",7
Swiggy,Finance Analyst Intern,NGO/Non-Profit,Graphic Design,8,Mysore,Karnataka,Mysore,Mandya,570001,Diploma,12th Pass,Graphic Design,Tally Certification,"Excel, problem-solving",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹6,000; travel reimbursement.",Mentorship program and soft skills training.,"In this Finance Analyst Intern, you will participate in project cycles, data analysis, and stakeholder communications in Graphic Design.",5
Nestle India,Content Writing Intern,Finance & Banking,Finance & Accounting,4,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Undergraduate,10th Pass,Accounting,Google Analytics Certificate,"Content creation, social media",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹24,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"Join as Content Writing Intern in the Finance & Accounting department to assist in testing, documentation, and process improvements.",11
Sun Pharmaceuticals,Content Writing Intern,Finance & Banking,Data Science,7,Indore,Madhya Pradesh,Indore,Dewas,452001,10th Pass,B.E./B.Tech,Human Resource Management,Microsoft Office Specialist,"Laboratory techniques, safety",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹18,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","In this Content Writing Intern, you will participate in project cycles, data analysis, and stakeholder communications in Data Science.",17
Unacademy,Data Analyst Intern,Technology,Data Science,7,Dausa,Rajasthan,Dausa,Lalsot,303511,Undergraduate,Diploma,Biotechnology,Adobe Certified Associate,"MATLAB, data analysis",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹5,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"Join as Data Analyst Intern in the Data Science department to assist in testing, documentation, and process improvements.",5
Air India,HR Intern,Agriculture,Hotel Management,2,Indore,Madhya Pradesh,Indore,Dewas,452001,Undergraduate,12th Pass,Hotel Management,Communication Skills Certificate,"Content creation, social media",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹11,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","This internship offers exposure to hotel management, including research, design support, and presentation of findings.",7
Unacademy,Content Writing Intern,Agriculture,Biotechnology,8,Mysore,Karnataka,Mysore,Mandya,570001,Diploma,B.E./B.Tech,Graphic Design,Google Analytics Certificate,"Laboratory techniques, safety",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹21,000; travel reimbursement.",Mentorship program and soft skills training.,"Join as Content Writing Intern in the Biotechnology department to assist in testing, documentation, and process improvements.",7
Biocon,Graphic Design Intern,Manufacturing,Biotechnology,4,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,10th Pass,10th Pass,Computer Science Engineering,Leadership Training Certificate,"Excel, problem-solving",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹13,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"As a Graphic Design Intern, you will support biotechnology tasks, perform data collection and reporting, and engage with team meetings.",8
Air India,Graphic Design Intern,Healthcare,Biotechnology,3,Dausa,Rajasthan,Dausa,Lalsot,303511,Undergraduate,Bachelor of Hotel Management,Hotel Management,Communication Skills Certificate,"MATLAB, data analysis",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹9,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"This internship offers exposure to biotechnology, including research, design support, and presentation of findings.",5
Wipro,Graphic Design Intern,Technology,Biotechnology,7,Vizag,Andhra Pradesh,Visakhapatnam,Anakapalle,530001,10th Pass,B.Sc,Accounting,Microsoft Office Specialist,"Research, documentation",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹22,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"In this Graphic Design Intern, you will participate in project cycles, data analysis, and stakeholder communications in Biotechnology.",17
Voltas,Graphic Design Intern,Agriculture,Biotechnology,8,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,12th Pass,BBA,Hotel Management,Tally Certification,"Laboratory techniques, safety",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹20,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","The Graphic Design Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",11
Havells India,Social Work Intern,NGO/Non-Profit,Computer Science,2,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,10th Pass,12th Pass,Mass Communication,Python Programming Certificate,"Content creation, social media",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹28,000; travel reimbursement.",Professional development sessions and certificate on completion.,"The Social Work Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",5
HP India,Finance Analyst Intern,Hospitality,Finance & Accounting,8,Mysore,Karnataka,Mysore,Mandya,570001,Undergraduate,B.A.,Digital Marketing,Lab Safety Certificate,"Content creation, social media",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹6,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Finance Analyst Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",10
Myntra,Social Work Intern,Healthcare,Hotel Management,9,Indore,Madhya Pradesh,Indore,Dewas,452001,Diploma,B.E./B.Tech,Biotechnology,Tally Certification,"Communication, teamwork",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹23,000; travel reimbursement.",Mentorship program and soft skills training.,"In this Social Work Intern, you will participate in project cycles, data analysis, and stakeholder communications in Hotel Management.",13
Adani Green Energy,Software Development Intern,Finance & Banking,Journalism & Mass Communication,6,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,Diploma,B.A.,Hotel Management,Data Analysis Certificate,"Event planning, coordination",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹25,000; travel reimbursement.",Mentorship program and soft skills training.,"The Software Development Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",19
Sun Pharmaceuticals,Social Work Intern,Education,Digital Marketing,4,Mysore,Karnataka,Mysore,Mandya,570001,10th Pass,Bachelor of Hotel Management,Graphic Design,Communication Skills Certificate,"Excel, problem-solving",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹10,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"In this Social Work Intern, you will participate in project cycles, data analysis, and stakeholder communications in Digital Marketing.",10
Larsen & Toubro,Software Development Intern,Technology,Graphic Design,7,Indore,Madhya Pradesh,Indore,Dewas,452001,Undergraduate,BCA,Digital Marketing,Microsoft Office Specialist,"MATLAB, data analysis",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹24,000; travel reimbursement.",Professional development sessions and certificate on completion.,"Join as Software Development Intern in the Graphic Design department to assist in testing, documentation, and process improvements.",16
Tata Motors,Social Work Intern,Healthcare,Finance & Accounting,4,Indore,Madhya Pradesh,Indore,Dewas,452001,Diploma,12th Pass,Business Analytics,Microsoft Office Specialist,"Communication, teamwork",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹10,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"Join as Social Work Intern in the Finance & Accounting department to assist in testing, documentation, and process improvements.",9
UpGrad,Data Analyst Intern,Agriculture,Human Resources,8,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,Undergraduate,B.A.,Mass Communication,Lab Safety Certificate,"MATLAB, data analysis",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹29,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","As a Data Analyst Intern, you will support human resources tasks, perform data collection and reporting, and engage with team meetings.",19
Cognizant,Hospitality Operations Intern,Research,Graphic Design,4,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Undergraduate,BBA,Digital Marketing,Lab Safety Certificate,"Customer service, MS Office",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹16,000; travel reimbursement.",Mentorship program and soft skills training.,"The Hospitality Operations Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",11
Cisco Systems India,Lab Technician Intern,Manufacturing,Biotechnology,4,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,10th Pass,B.E./B.Tech,Digital Marketing,Tally Certification,"Content creation, social media",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹16,000; travel reimbursement.",Professional development sessions and certificate on completion.,"The Lab Technician Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",18
Bajaj Auto,Graphic Design Intern,Healthcare,Computer Science,8,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,12th Pass,B.E./B.Tech,Biotechnology,Tally Certification,"MATLAB, data analysis",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹25,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Graphic Design Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",12
Tech Mahindra,Lab Technician Intern,Technology,Graphic Design,3,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,10th Pass,B.A.,Biotechnology,Hospitality Management Certificate,"AutoCAD, design",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹11,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","The Lab Technician Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",10
Mindtree,Finance Analyst Intern,Finance & Banking,Biotechnology,9,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,10th Pass,Diploma,Human Resource Management,Data Analysis Certificate,"Excel, problem-solving",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹21,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","Join as Finance Analyst Intern in the Biotechnology department to assist in testing, documentation, and process improvements.",16
UpGrad,Finance Analyst Intern,Marketing & Media,Biotechnology,6,Nashik,Maharashtra,Nashik,Sinnar,422113,10th Pass,B.A.,Human Resource Management,Adobe Certified Associate,"Research, documentation",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹29,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"In this Finance Analyst Intern, you will participate in project cycles, data analysis, and stakeholder communications in Biotechnology.",14
Flipkart,Social Work Intern,Agriculture,Computer Science,7,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Undergraduate,B.Com,Digital Marketing,Microsoft Office Specialist,"AutoCAD, design",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹9,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","This internship offers exposure to computer science, including research, design support, and presentation of findings.",7
Bajaj Auto,Data Analyst Intern,NGO/Non-Profit,Hotel Management,3,Dausa,Rajasthan,Dausa,Lalsot,303511,Diploma,BCA,Business Analytics,Lab Safety Certificate,"MATLAB, data analysis",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹19,000; travel reimbursement.",Professional development sessions and certificate on completion.,"Join as Data Analyst Intern in the Hotel Management department to assist in testing, documentation, and process improvements.",7
Tata Motors,Digital Marketing Intern,Healthcare,Hotel Management,8,Nashik,Maharashtra,Nashik,Sinnar,422113,Undergraduate,Diploma,Computer Science Engineering,Tally Certification,"Communication, teamwork",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹14,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"Join as Digital Marketing Intern in the Hotel Management department to assist in testing, documentation, and process improvements.",17
Air India,Social Work Intern,Hospitality,Journalism & Mass Communication,10,Kochi,Kerala,Ernakulam,Aluva,682001,Diploma,B.E./B.Tech,Biotechnology,Communication Skills Certificate,"MATLAB, data analysis",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹29,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","This internship offers exposure to journalism & mass communication, including research, design support, and presentation of findings.",12
Bharti Airtel,Software Development Intern,Technology,Graphic Design,10,Indore,Madhya Pradesh,Indore,Dewas,452001,10th Pass,Bachelor of Design,Graphic Design,Data Analysis Certificate,"Excel, problem-solving",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹5,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"In this Software Development Intern, you will participate in project cycles, data analysis, and stakeholder communications in Graphic Design.",15
Flipkart,Finance Analyst Intern,NGO/Non-Profit,Digital Marketing,4,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,12th Pass,Diploma,Biotechnology,Adobe Certified Associate,"Excel, problem-solving",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹20,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"Join as Finance Analyst Intern in the Digital Marketing department to assist in testing, documentation, and process improvements.",5
Byju’s,Hospitality Operations Intern,Research,Human Resources,3,Indore,Madhya Pradesh,Indore,Dewas,452001,10th Pass,B.Sc,Biotechnology,Google Analytics Certificate,"MATLAB, data analysis",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹14,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","Join as Hospitality Operations Intern in the Human Resources department to assist in testing, documentation, and process improvements.",13
Vodafone Idea,Finance Analyst Intern,Hospitality,Graphic Design,9,Shimoga,Karnataka,Shimoga,Bhadravati,577301,Undergraduate,Bachelor of Hotel Management,Accounting,Python Programming Certificate,"Research, documentation",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹15,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Finance Analyst Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",7
Mahindra & Mahindra,Content Writing Intern,Research,Computer Science,4,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,12th Pass,B.E./B.Tech,Graphic Design,Communication Skills Certificate,"Communication, teamwork",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹11,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","In this Content Writing Intern, you will participate in project cycles, data analysis, and stakeholder communications in Computer Science.",13
Amazon India,Digital Marketing Intern,Marketing & Media,Computer Science,9,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,10th Pass,10th Pass,Social Work,Leadership Training Certificate,"Content creation, social media",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹15,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"In this Digital Marketing Intern, you will participate in project cycles, data analysis, and stakeholder communications in Computer Science.",5
Bajaj Auto,Social Work Intern,Hospitality,Data Science,3,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,12th Pass,12th Pass,Business Analytics,Leadership Training Certificate,"Laboratory techniques, safety",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹25,000; travel reimbursement.",Professional development sessions and certificate on completion.,"The Social Work Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",6
Dabur,Software Development Intern,Agriculture,Social Work,9,Mysore,Karnataka,Mysore,Mandya,570001,Undergraduate,Bachelor of Journalism,Accounting,Communication Skills Certificate,"Customer service, MS Office",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹12,000; travel reimbursement.",Professional development sessions and certificate on completion.,"The Software Development Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",17
Myntra,Lab Technician Intern,Technology,Human Resources,7,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,10th Pass,B.A.,Accounting,Microsoft Office Specialist,"Communication, teamwork",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹10,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","In this Lab Technician Intern, you will participate in project cycles, data analysis, and stakeholder communications in Human Resources.",14
Dabur,Hospitality Operations Intern,Education,Digital Marketing,9,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,12th Pass,BBA,Human Resource Management,Tally Certification,"Research, documentation",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹11,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Hospitality Operations Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",15
Reliance Industries,HR Intern,Hospitality,Social Work,10,Shimoga,Karnataka,Shimoga,Bhadravati,577301,Undergraduate,B.E./B.Tech,Business Analytics,Python Programming Certificate,"Laboratory techniques, safety",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹14,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","This internship offers exposure to social work, including research, design support, and presentation of findings.",8
Apple India,HR Intern,Finance & Banking,Social Work,3,Mysore,Karnataka,Mysore,Mandya,570001,Undergraduate,Diploma,Accounting,Microsoft Office Specialist,"Research, documentation",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹14,000; travel reimbursement.",Mentorship program and soft skills training.,"In this HR Intern, you will participate in project cycles, data analysis, and stakeholder communications in Social Work.",11
Asian Paints,Finance Analyst Intern,NGO/Non-Profit,Hotel Management,10,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,10th Pass,12th Pass,Biotechnology,Communication Skills Certificate,"Research, documentation",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹7,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Finance Analyst Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",8
Swiggy,Social Work Intern,Healthcare,Biotechnology,4,Nashik,Maharashtra,Nashik,Sinnar,422113,10th Pass,BCA,Computer Science Engineering,Hospitality Management Certificate,"Event planning, coordination",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹16,000; travel reimbursement.",Mentorship program and soft skills training.,"As a Social Work Intern, you will support biotechnology tasks, perform data collection and reporting, and engage with team meetings.",13
Sun Pharmaceuticals,Lab Technician Intern,NGO/Non-Profit,Computer Science,5,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Diploma,B.E./B.Tech,Social Work,Google Analytics Certificate,"Content creation, social media",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹24,000; travel reimbursement.",Mentorship program and soft skills training.,"As a Lab Technician Intern, you will support computer science tasks, perform data collection and reporting, and engage with team meetings.",6
Sun Pharmaceuticals,Finance Analyst Intern,Education,Computer Science,2,Vizag,Andhra Pradesh,Visakhapatnam,Anakapalle,530001,10th Pass,B.A.,Computer Science Engineering,Tally Certification,"Customer service, MS Office",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹9,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"This internship offers exposure to computer science, including research, design support, and presentation of findings.",20
Cognizant,Content Writing Intern,Finance & Banking,Human Resources,7,Kochi,Kerala,Ernakulam,Aluva,682001,Diploma,B.Com,Digital Marketing,Communication Skills Certificate,"Content creation, social media",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹21,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","In this Content Writing Intern, you will participate in project cycles, data analysis, and stakeholder communications in Human Resources.",5
Voltas,Digital Marketing Intern,NGO/Non-Profit,Journalism & Mass Communication,4,Nashik,Maharashtra,Nashik,Sinnar,422113,10th Pass,B.Com,Graphic Design,Lab Safety Certificate,"MATLAB, data analysis",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹29,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","The Digital Marketing Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",12
Air India,Finance Analyst Intern,Research,Data Science,9,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,Undergraduate,BCA,Human Resource Management,Data Analysis Certificate,"Photography, editing",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹18,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"Join as Finance Analyst Intern in the Data Science department to assist in testing, documentation, and process improvements.",19
Swiggy,Data Analyst Intern,Education,Hotel Management,4,Dausa,Rajasthan,Dausa,Lalsot,303511,Undergraduate,B.E./B.Tech,Social Work,Hospitality Management Certificate,"AutoCAD, design",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹28,000; travel reimbursement.",Professional development sessions and certificate on completion.,"In this Data Analyst Intern, you will participate in project cycles, data analysis, and stakeholder communications in Hotel Management.",11
Adani Green Energy,Data Analyst Intern,Marketing & Media,Graphic Design,7,Mysore,Karnataka,Mysore,Mandya,570001,Diploma,B.Sc,Computer Science Engineering,Hospitality Management Certificate,"Customer service, MS Office",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹25,000; travel reimbursement.",Mentorship program and soft skills training.,"As a Data Analyst Intern, you will support graphic design tasks, perform data collection and reporting, and engage with team meetings.",7
Maruti Suzuki,Graphic Design Intern,Healthcare,Data Science,7,Nashik,Maharashtra,Nashik,Sinnar,422113,12th Pass,10th Pass,Human Resource Management,Google Analytics Certificate,"Photography, editing",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹7,000; travel reimbursement.",Mentorship program and soft skills training.,"As a Graphic Design Intern, you will support data science tasks, perform data collection and reporting, and engage with team meetings.",18
Urban Company,Data Analyst Intern,Marketing & Media,Graphic Design,6,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,12th Pass,B.A.,Digital Marketing,Data Analysis Certificate,"Communication, teamwork",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹27,000; travel reimbursement.",Mentorship program and soft skills training.,"As a Data Analyst Intern, you will support graphic design tasks, perform data collection and reporting, and engage with team meetings.",11
Asian Paints,Hospitality Operations Intern,Finance & Banking,Data Science,5,Dausa,Rajasthan,Dausa,Lalsot,303511,10th Pass,Diploma,Business Analytics,Tally Certification,"Customer service, MS Office",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹17,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","As a Hospitality Operations Intern, you will support data science tasks, perform data collection and reporting, and engage with team meetings.",19
Reliance Industries,Finance Analyst Intern,NGO/Non-Profit,Finance & Accounting,9,Vizag,Andhra Pradesh,Visakhapatnam,Anakapalle,530001,10th Pass,BBA,Accounting,Python Programming Certificate,"Laboratory techniques, safety",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹8,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"Join as Finance Analyst Intern in the Finance & Accounting department to assist in testing, documentation, and process improvements.",18
Maruti Suzuki,Lab Technician Intern,Research,Graphic Design,7,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,Diploma,B.Com,Mass Communication,Python Programming Certificate,"Event planning, coordination",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹13,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"As a Lab Technician Intern, you will support graphic design tasks, perform data collection and reporting, and engage with team meetings.",18
Voltas,Social Work Intern,Hospitality,Human Resources,7,Indore,Madhya Pradesh,Indore,Dewas,452001,Diploma,Bachelor of Design,Business Analytics,Google Analytics Certificate,"MATLAB, data analysis",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹29,000; travel reimbursement.",Professional development sessions and certificate on completion.,"This internship offers exposure to human resources, including research, design support, and presentation of findings.",8
Adani Green Energy,Social Work Intern,Research,Computer Science,7,Vizag,Andhra Pradesh,Visakhapatnam,Anakapalle,530001,Diploma,Bachelor of Design,Mass Communication,Tally Certification,"MATLAB, data analysis",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹11,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"The Social Work Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",16
Air India,Graphic Design Intern,Technology,Social Work,3,Mysore,Karnataka,Mysore,Mandya,570001,10th Pass,12th Pass,Mass Communication,Tally Certification,"Communication, teamwork",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹24,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"The Graphic Design Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",17
Cisco Systems India,HR Intern,Finance & Banking,Computer Science,3,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,12th Pass,BCA,Graphic Design,Leadership Training Certificate,"MATLAB, data analysis",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹26,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","As a HR Intern, you will support computer science tasks, perform data collection and reporting, and engage with team meetings.",12
Tech Mahindra,Content Writing Intern,Hospitality,Computer Science,9,Nashik,Maharashtra,Nashik,Sinnar,422113,10th Pass,10th Pass,Human Resource Management,Python Programming Certificate,"Excel, problem-solving",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹5,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Content Writing Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",13
Bajaj Auto,HR Intern,Marketing & Media,Computer Science,7,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,Undergraduate,12th Pass,Business Analytics,Data Analysis Certificate,"Laboratory techniques, safety",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹5,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"Join as HR Intern in the Computer Science department to assist in testing, documentation, and process improvements.",12
Maruti Suzuki,HR Intern,NGO/Non-Profit,Journalism & Mass Communication,9,Shimoga,Karnataka,Shimoga,Bhadravati,577301,Undergraduate,B.Sc,Digital Marketing,Hospitality Management Certificate,"Event planning, coordination",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹24,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"The HR Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",19
Tech Mahindra,Hospitality Operations Intern,Research,Finance & Accounting,7,Indore,Madhya Pradesh,Indore,Dewas,452001,12th Pass,B.A.,Hotel Management,Leadership Training Certificate,"Event planning, coordination",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹6,000; travel reimbursement.",Professional development sessions and certificate on completion.,"This internship offers exposure to finance & accounting, including research, design support, and presentation of findings.",15
Power Grid Corporation,Digital Marketing Intern,Marketing & Media,Social Work,7,Dausa,Rajasthan,Dausa,Lalsot,303511,Diploma,B.Sc,Graphic Design,Google Analytics Certificate,"Communication, teamwork",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹9,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","The Digital Marketing Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",12
Myntra,Hospitality Operations Intern,Technology,Graphic Design,10,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,10th Pass,BCA,Hotel Management,Hospitality Management Certificate,"MATLAB, data analysis",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹27,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"In this Hospitality Operations Intern, you will participate in project cycles, data analysis, and stakeholder communications in Graphic Design.",13
